Dataset,Method,Avg Training Accuracy,Avg Testing Accuracy,Training/Test,Rules,Training loops
tictactoe,"('Therm', 'N=', 6)",66.31853785900783,67.1875,80/20,10,100
tictactoe,"('Therm', 'N=', 6)",72.7154046997389,69.79166666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 6)",68.01566579634465,72.91666666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 6)",66.84073107049609,59.375,80/20,10,100
tictactoe,"('Therm', 'N=', 6)",72.32375979112271,63.020833333333336,80/20,10,100
tictactoe,"('Therm', 'N=', 6)",66.71018276762402,65.625,80/20,10,100
tictactoe,"('Therm', 'N=', 6)",71.27937336814621,67.70833333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 6)",65.40469973890339,65.10416666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 7)",67.36292428198433,66.14583333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 7)",64.62140992167102,68.75,80/20,10,100
tictactoe,"('Therm', 'N=', 7)",71.6710182767624,64.58333333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 7)",65.53524804177546,67.1875,80/20,10,100
tictactoe,"('Therm', 'N=', 7)",65.14360313315927,64.0625,80/20,10,100
tictactoe,"('Therm', 'N=', 7)",66.97127937336815,69.27083333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 7)",68.27676240208878,76.04166666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 7)",64.22976501305483,69.79166666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 7)",66.44908616187989,67.70833333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 7)",65.66579634464752,64.0625,80/20,10,100
tictactoe,"('Therm', 'N=', 8)",66.71018276762402,66.66666666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 8)",66.84073107049609,71.875,80/20,10,100
tictactoe,"('Therm', 'N=', 8)",69.84334203655352,70.3125,80/20,10,100
tictactoe,"('Therm', 'N=', 8)",69.84334203655352,68.75,80/20,10,100
tictactoe,"('Therm', 'N=', 8)",66.97127937336815,68.22916666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 8)",68.9295039164491,66.14583333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 8)",66.57963446475196,65.10416666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 8)",64.75195822454307,67.70833333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 8)",69.32114882506528,65.10416666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 8)",65.0130548302872,69.27083333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 9)",68.66840731070496,74.47916666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 9)",65.14360313315927,67.1875,80/20,10,100
